Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-12-24,"Fear and Loathing, III",5.12a,"Absolutely 0 left in the tank. I really actually exhausted myself. 

This thing was probably money back in the day. Just WAY too greasy and gross now. It’s cool climbing, just gross from all the paws ",https://www.mountainproject.com/route/105808935/fear-and-loathing-iii,1,"Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion",3.6,2,Lead,Fell/Hung,Sport,,70,6600
2024-12-24,"Desert Pickle",5.11c,"40th pitch on day 4",https://www.mountainproject.com/route/105808917/desert-pickle,1,"Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion",2.8,2,Lead,Onsight,Sport,,60,5200
2024-12-24,"American Sportsman",5.10b,,https://www.mountainproject.com/route/105808911/american-sportsman,1,"Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion",2.6,2,Lead,Onsight,Sport,,50,2900
2024-12-24,"The Runaway",5.10b,,https://www.mountainproject.com/route/105808906/the-runaway,1,"Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Wall of Confusion",2.2,1,Lead,Redpoint,Sport,,50,2900
2024-12-23,"The Prophet",5.12b,"37th pitch in 3 days. I CANNOT believe it! Glory to God! 

Great crag, can’t wait to try nirvana and Hotline!",https://www.mountainproject.com/route/106421490/the-prophet,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Alternative Crag",3.7,4,Lead,Redpoint,Sport,,65,6900
2024-12-23,"The Prophet",5.12b,,https://www.mountainproject.com/route/106421490/the-prophet,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Alternative Crag",3.7,4,Lead,Fell/Hung,Sport,,65,6900
2024-12-23,"The Prophet",5.12b,"Warmup. VERY FUN!",https://www.mountainproject.com/route/106421490/the-prophet,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Alternative Crag",3.7,4,Lead,Fell/Hung,Sport,,65,6900
2024-12-22,"Patient Zero",5.10a,"18th pitch of the day and 32 of 2 days haha",https://www.mountainproject.com/route/125604928/patient-zero,8,"Nevada > Southern Nevada > La Madre Range > Lake Mead Buttress",3.2,2,Lead,Onsight,Sport,,630,2600
2024-12-22,Contagion,5.10a/b,"In 3 pitches - fun! I linked first 2.5 with the 10b variation",https://www.mountainproject.com/route/121833433/contagion,6,"Nevada > Southern Nevada > La Madre Range > Lake Mead Buttress",3.5,3,Lead,Onsight,Sport,,700,2800
2024-12-22,"Killer Nano Robot Infection",5.12a,"One fall at first perma :( just simply didn’t read it right and sometimes that happens on first time up. Was following. Led 2 & 4. Onsighted everything except one move.

For 19th pitch of day, i went back and redpointed p1 - leading. MUCH more rewarding this way! 

This is honestly a really, really good route!! All the pitches are quite different, and the rock is great",https://www.mountainproject.com/route/126045452/killer-nano-robot-infection,4,"Nevada > Southern Nevada > La Madre Range > Lake Mead Buttress",4.0,4,Lead,Redpoint,Sport,,440,6600
